Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,TrackStatus
0 days 02:07:38.260000,PER,0 days 00:01:15.777000,50,3,,,HARD,10,1
0 days 02:08:53.168000,PER,0 days 00:01:14.908000,51,3,,,HARD,11,1
0 days 02:10:08.286000,PER,0 days 00:01:15.118000,52,3,,,HARD,12,1
0 days 02:11:23.407000,PER,0 days 00:01:15.121000,53,3,,,HARD,13,1
0 days 02:12:39.013000,PER,0 days 00:01:15.606000,54,3,,,HARD,14,1
0 days 02:13:54.120000,PER,0 days 00:01:15.107000,55,3,,,HARD,15,2
0 days 02:15:30.828000,PER,0 days 00:01:36.708000,56,3,,0 days 02:15:29.278000,HARD,16,24
0 days 02:17:38.743000,PER,0 days 00:02:07.915000,57,4,0 days 02:15:48.505000,0 days 02:17:37.064000,MEDIUM,1,4
0 days 02:19:50.105000,PER,0 days 00:02:11.362000,58,5,0 days 02:17:51.178000,,MEDIUM,2,4
0 days 02:21:53.602000,PER,0 days 00:02:03.497000,59,5,,,MEDIUM,3,4
0 days 02:23:52.868000,PER,0 days 00:01:59.266000,60,5,,,MEDIUM,4,4
0 days 02:25:09.437000,PER,0 days 00:01:16.569000,61,5,,,MEDIUM,5,1
0 days 02:26:24.278000,PER,0 days 00:01:14.841000,62,5,,,MEDIUM,6,1
0 days 02:27:38.682000,PER,0 days 00:01:14.404000,63,5,,,MEDIUM,7,1
0 days 02:28:53.674000,PER,0 days 00:01:14.992000,64,5,,,MEDIUM,8,1
0 days 02:30:08.702000,PER,0 days 00:01:15.028000,65,5,,,MEDIUM,9,1
0 days 02:31:23.900000,PER,0 days 00:01:15.198000,66,5,,,MEDIUM,10,1
0 days 02:32:39.336000,PER,0 days 00:01:15.436000,67,5,,,MEDIUM,11,1
0 days 02:33:55.236000,PER,0 days 00:01:15.900000,68,5,,,MEDIUM,12,1
0 days 02:35:10.362000,PER,0 days 00:01:15.126000,69,5,,,MEDIUM,13,1
